brand,name,weight,quantity,quantity_alert,animal,buy,sell_cred,sell_money,
Purina,Dog Chow Adulto Raças Pequenas,15.1,8,,Cão,132.50,165.00,158.00,
Purina,Dog Chow Adulto Raças Médias,15.1,11,,Cão,132.50,165.00,158.00,
Purina,Dog Chow Filhote Raças Pequenas,15.1,10,,Cão,142.00,178.00,170.00,
Purina,Dog Chow Filhote Raças Médias,15.1,6,,Cão,142.00,178.00,170.00,
Purina,dog chow papita,20.1,9,,Cão,191.00,239.00,229.00,
Purina,Dog Chow Adulto Raças Pequenas,20.1,13,,Cão,177.00,222.00,212.00,
Purina,Dog Chow Adulto Raças Médias,20.1,8,,Cão,177.00,222.00,212.00,
Purina,dog chow senior,15.1,5,,Cão,142.00,177.00,170.00,
Purina,kanina adulto,15.1,1,,Cão,122.50,152.00,146.00,
Purina,kanina filhote,20.1,0,,Cão,129.00,162.00,155.00,
Purina,Friskies Carne,10.1,6,,Gato,121.57,152.00,146.00,
Purina,Friskies Peixe,10.1,3,,Gato,121.57,152.00,146.00,
Purina,Friskies Frango,10.1,3,,Gato,121.57,152.00,146.00,
Purina,Friskies Castrado,10.1,10,,Gato,138.76,160.00,154.00,
Purina,Friskies Filhote,10.1,12,,Gato,138.76,160.00,154.00,
Purina,Friskies Carne,20.0,0,,Gato,231.85,300.00,290.00,
Purina,Friskies Peixe,20.0,9,,Gato,231.85,300.00,290.00,
Purina,Cat Chow Carne,10.1,6,,Gato,127.37,160.00,154.00,
Purina,Cat Chow Peixe,10.1,3,,Gato,127.27,160.00,154.00,
Purina,Cat Chow Castrado,10.1,6,,Gato,127.37,160.00,154.00,
Purina,cat chow filhote,10.1,0,,Gato,134.80,170.00,162.00,
Purina,gatsy,20.1,1,,Cão,182.00,212.00,204.00,
Objetiva,faro adulto raças pequenas,15.1,,,Cão,93.84,146.00,140.00,
Objetiva,faro filhote,20.1,,,Cão,141.68,146.00,140.00,
Objetiva,granplus R.P filhote cão,15.1,,,Cão,138.92,178.00,170.00,
Objetiva,granplus R.P adulto cão,15.1,,,Cão,134.32,178.00,170.00,
Objetiva,granplus choice adulto rm,15.1,,,Cão,121.10,165.00,158.00,
Objetiva,guabi natural adulto rp,20.1,,,Cão,290.00,366.00,355.00,
Objetiva,guabi natural filhote rp,20.1,,,Cão,285.00,366.00,355.00,
Objetiva,faro cat,20.1,,,Gato,165.42,215.00,205.00,
Objetiva,Granplus Cat Castrado Salmão,10.1,,,Gato,134.50,185.00,178.00,
Objetiva,Granplus Cat Castrado Frango,10.1,,,Gato,134.50,185.00,178.00,
Objetiva,Granplus Cat Castrado Carne,10.1,,,Gato,134.50,185.00,178.00,
Objetiva,granplus cat choice,10.1,,,Gato,115.00,150.00,143.00,
Cedan,bisterdog filhote,15.1,,,Cão,85.00,112.00,108.00,
Cedan,bisterdog adulto,14.1,,,Cão,58.50,80.00,75.00,
Cedan,cedan mix,15.1,,,Cão,69.00,93.00,90.00,
Cedan,perrus filhote,10.1,,,Gato,105.00,136.00,132.00,
